responseCode,responseStatus,contentLength,serverIP,timingConnected,timingResponse,timingRequest,timingTransfer,location
200,OK,102400,172.67.148.21,0.001483,0.051655,0.052202,0.060310,tbilisi
200,OK,102400,172.67.148.21,0.000778,0.039491,0.039772,0.041797,telaviv
200,OK,102400,172.67.148.21,0.002858,0.043854,0.044047,0.049404,thehague
200,OK,102400,172.67.148.21,0.009961,0.059529,0.060255,0.074008,thessaloniki
200,OK,102400,172.67.148.21,0.015036,0.065392,0.065799,0.082370,tirana
200,OK,102400,104.21.71.190,0.000684,0.030368,0.030645,0.032066,tokyo
200,OK,102400,172.67.148.21,0.016704,0.075215,0.075675,0.094882,toledo
200,OK,102400,172.64.80.1,0.073084,0.267562,0.268147,0.349866,toronto
200,OK,102400,172.67.148.21,0.016596,0.124470,0.124870,0.177903,tunis
200,OK,102400,172.67.148.21,0.005253,0.110536,0.110896,0.118377,valencia
200,OK,102400,172.67.148.21,0.025425,0.109563,0.110256,0.142074,valletta
200,OK,102400,104.21.71.190,0.001754,0.032016,0.032623,0.040528,vancouver
200,OK,102400,104.21.71.190,0.008327,0.064731,0.066395,0.084744,varna
200,OK,102400,172.67.148.21,0.008717,0.051966,0.052587,0.135079,venice
200,OK,102400,104.21.71.190,0.000879,0.171670,0.172209,0.174492,vienna
200,OK,102400,104.21.71.190,0.030019,0.112203,0.112571,0.151714,vilnius
200,OK,102400,172.67.148.21,0.001095,0.034119,0.034699,0.037563,warsaw
200,OK,102400,172.67.148.21,0.000634,0.032996,0.033315,0.035653,washington
200,OK,102400,104.21.71.190,0.037647,0.140943,0.142170,0.182404,wellington
200,OK,102400,172.67.148.21,0.001785,0.034163,0.034581,0.038659,westpoort
200,OK,102400,172.67.148.21,0.018375,0.084433,0.084966,0.106450,winnipeg
200,OK,102400,104.21.71.190,0.007730,0.061461,0.061672,0.070797,zagreb
200,OK,102400,172.67.148.21,0.005907,0.078956,0.079712,0.094403,zurich
